date,name,startTime,endTime,stage
09/24,Flume,8:45:00 PM,10:00:00 PM,Pier
09/24,Kaytranada,7:10:00 PM,8:10:00 PM,Pier
09/24,Jungle,6:00:00 PM,6:50:00 PM,Pier
09/24,The Avalanches,4:55:00 PM,5:45:00 PM,Pier
09/24,Bob Moses,3:55:00 PM,4:45:00 PM,Pier
09/24,Neil Frances,3:00:00 PM,3:45:00 PM,Pier
09/24,Gioli & Assia,2:00:00 PM,2:50:00 PM,Pier
09/24,Young Franco,1:00:00 PM,1:50:00 PM,Pier
09/24,Bicep Live,9:45:00 PM,11:00:00 PM,Warehouse
09/24,Jamie XX,8:00:00 PM,9:15:00 PM,Warehouse
09/24,Charli XCX,6:50:00 PM,7:35:00 PM,Warehouse
09/24,Fred Again..,5:25:00 PM,6:25:00 PM,Warehouse
09/24,PinkPantheress,4:20 PM,5:00:00 PM,Warehouse
09/24,Romy,3:00:00 PM,4:00:00 PM,Warehouse
09/24,Godford,2:00:00 PM,3:00:00 PM,Warehouse
09/24,jamesjamesjames,1:00:00 PM,2:00:00 PM,Warehouse
09/24,Gorgon City,9:45:00 PM,11:00:00 PM,Ship Tent
09/24,Fatboy Slim,8:30:00 PM,9:45:00 PM,Ship Tent
09/24,Hot Since 82,7:15:00 PM,8:30:00 PM,Ship Tent
09/24,Mochakk,6:00:00 PM,7:15:00 PM,Ship Tent
09/24,Tsha,4:45:00 PM,6:00:00 PM,Ship Tent
09/24,Justin Martin,3:30:00 PM,4:45:00 PM,Ship Tent
09/24,DJ Holographic,2:15:00 PM,3:30:00 PM,Ship Tent
09/24,Thee Mike B,1:00:00 PM,2:15:00 PM,Ship Tent
09/24,Arca,9:00:00 PM,10:00:00 PM,Crane Tent
09/24,Caribou,7:15:00 PM,8:05:00 PM,Crane Tent
09/24,Slowthai,6:10:00 PM,6:50 PM,Crane Tent
09/24,Caroline Polachek,5:00:00 PM,5:50:00 PM,Crane Tent
09/24,Ross From Friends,3:45:00 PM,4:35:00 PM,Crane Tent
09/24,George Fitzgerald,2:45:00 PM,3:35:00 PM,Crane Tent
09/24,Elkka Live,1:55:00 PM,2:35:00 PM,Crane Tent
09/24,Dials,12:45:00 PM,1:45:00 PM,Crane Tent
09/25,The Chemical Brothers,8:40:00 PM,10:00:00 PM,Pier
09/25,James Blake,7:10:00 PM,8:10:00 PM,Pier
09/25,M.I.A.,6:10:00 PM,7:00:00 PM,Pier
09/25,SG Lewis,5:05:00 PM,5:55:00 PM,Pier
09/25,Yaeji,4:05:00 PM,4:55:00 PM,Pier
09/25,L'Impératrice,3:05:00 PM,3:55:00 PM,Pier
09/25,Palace,2:05:00 PM,2:55:00 PM,Pier
09/25,The Range,1:05:00 PM,1:55:00 PM,Pier
09/25,Lane 8,9:40:00 PM,11:00:00 PM,Warehouse
09/25,Ben Böhmer,8:25:00 PM,9:30:00 PM,Warehouse
09/25,Duke Dumont Live,7:05:00 PM,8:05:00 PM,Warehouse
09/25,Channel Tres,5:45:00 PM,6:35:00 PM,Warehouse
09/25,Kelly Lee Owens,4:40:00 PM,5:25:00 PM,Warehouse
09/25,Slayyyter,3:45:00 PM,4:15:00 PM,Warehouse
09/25,Haai,2:35:00 PM,3:35:00 PM,Warehouse
09/25,Prospa,1:35:00 PM,2:35:00 PM,Warehouse
09/25,Eug,12:35:00 PM,1:35:00 PM,Warehouse
09/25,Four Tet + Floating Points,9:00:00 PM,11:00:00 PM,Ship Tent
09/25,Peggy Gou,7:45:00 PM,9:00:00 PM,Ship Tent
09/25,The Blessed Madonna,6:30:00 PM,7:45:00 PM,Ship Tent
09/25,Keinemusik (Rampa| &Me and Adam Port),5:15:00 PM,6:30:00 PM,Ship Tent
09/25,Danilo Plessow (MCDE),4:00:00 PM,5:15:00 PM,Ship Tent
09/25,Sofia Kourtesis,3:00:00 PM,4:00:00 PM,Ship Tent
09/25,Ela Minus (DJ Set),2:00:00 PM,3:00:00 PM,Ship Tent
09/25,Maddy Maia & Tottie (SOS Music),12:45:00 PM,2:00:00 PM,Ship Tent
09/25,Toro y Moi,9:10:00 PM,10:00:00 PM,Crane Tent
09/25,Yves Tumor,7:55:00 PM,8:45:00 PM,Crane Tent
09/25,Drama,6:45:00 PM,7:30:00 PM,Crane Tent
09/25,DJ Shadow,5:35:00 PM,6:25:00 PM,Crane Tent
09/25,Shygirl,4:40:00 PM,5:20:00 PM,Crane Tent
09/25,Sad Night Dynamite,3:45:00 PM,4:25:00 PM,Crane Tent
09/25,Dawn Richard,2:55:00 PM,3:25:00 PM,Crane Tent
09/25,Ama Lou,2:05:00 PM,2:35:00 PM,Crane Tent
09/25,DJ_Dave,12:55:00 PM,1:55:00 PM,Crane Tent
