date,name,startTime,endTime,stage
04/22,Harry Styles,11:35:00 PM,12:30:00 AM,Coachella
04/22,Daniel Caesar,10:10:00 PM,10:55:00 PM,Coachella
04/22,Lil Baby,8:25:00 PM,9:10:00 PM,Coachella
04/22,Grupo Firme,7:10:00 PM,8:00:00 PM,Coachella
04/22,Anitta,6:00:00 PM,6:45:00 PM,Coachella
04/22,Ari Lennox,4:50:00 PM,5:35:00 PM,Coachella
04/22,MIKA,3:40:00 PM,4:25:00 PM,Coachella
04/22,Princess Nokia,2:35:00 PM,3:15:00 PM,Coachella
04/22,King Gizzard and the Lizard Wizard,12:00:00 AM,1:00:00 AM,Outdoor
04/22,Louis the Child,10:40:00 PM,11:35:00 PM,Outdoor
04/22,Phoebe Bridgers,9:10:00 PM,10:10:00 PM,Outdoor
04/22,Madeon,7:40:00 PM,8:35:00 PM,Outdoor
04/22,NIKI,6:25:00 PM,7:10:00 PM,Outdoor
04/22,Omar Apollo,5:05:00 PM,5:50:00 PM,Outdoor
04/22,Bishop Briggs,4:00:00 PM,4:45:00 PM,Outdoor
04/22,The Hu,2:55:00 PM,3:35:00 PM,Outdoor
04/22,Yimbo,2:00:00 PM,2:30:00 PM,Outdoor
04/22,Ela Minus,10:10:00 PM,10:50:00 PM,Sonora
04/22,Amyl & the Sniffers,9:00:00 PM,9:40:00 PM,Sonora
04/22,PUP,7:20:00 PM,8:00:00 PM,Sonora
04/22,Spiritualized,5:40:00 PM,6:40:00 PM,Sonora
04/22,The Chats,4:35:00 PM,5:10:00 PM,Sonora
04/22,Code Orange,3:30:00 PM,4:10:00 PM,Sonora
04/22,Jean Dawson,2:30:00 PM,3:05:00 PM,Sonora
04/22,Giselle Woo & the Night Owls,1:40:00 PM,2:10:00 PM,Sonora
04/22,Jim Smith,12:00:00 PM,1:40:00 PM,Sonora
04/22,BADBADNOTGOOD,12:05:00 AM,1:00:00 AM,Gobi
04/22,EPIK HIGH,10:45:00 PM,11:35:00 PM,Gobi
04/22,The Avalanches,9:25:00 PM,10:15:00 PM,Gobi
04/22,TokiMonsta,8:10:00 PM,9:00:00 PM,Gobi
04/22,slowthai,7:00:00 PM,7:45:00 PM,Gobi
04/22,The Marías,5:50:00 PM,6:35:00 PM,Gobi
04/22,Role Model,4:35:00 PM,5:20:00 PM,Gobi
04/22,The Regrettes,3:20:00 PM,4:05:00 PM,Gobi
04/22,Arooj Aftab,2:15:00 PM,2:55:00 PM,Gobi
04/22,Torres Martinez,1:45:00 PM,2:00:00 PM,Gobi
04/22,Lane 8,11:45:00 PM,1:00:00 AM,Mojave
04/22,Snoh Aalegra,10:35:00 PM,11:20:00 PM,Mojave
04/22,Pink Sweat$,9:25:00 PM,10:10:00 PM,Mojave
04/22,IDLES,8:10:00 PM,9:00:00 PM,Mojave
04/22,Arcade Fire,6:45:00 PM,7:45:00 PM,Mojave
04/22,Carly Rae Jepsen,5:30:00 PM,6:15:00 PM,Mojave
04/22,Still Woozy,4:25:00 PM,5:00:00 PM,Mojave
04/22,Raveena,3:20:00 PM,4:00:00 PM,Mojave
04/22,Lawrence,2:25:00 PM,2:55:00 PM,Mojave
04/22,MEUTE,1:20:00 PM,2:00:00 PM,Mojave
04/22,SLANDER,11:55:00 PM,1:00:00 AM,Sahara
04/22,Big Sean,10:45:00 PM,11:30:00 PM,Sahara
04/22,Baby Keem,9:35:00 PM,10:20:00 PM,Sahara
04/22,Black Coffee,8:10:00 PM,9:10:00 PM,Sahara
04/22,Cordae,7:05:00 PM,7:50:00 PM,Sahara
04/22,City Girls,6:00:00 PM,6:45:00 PM,Sahara
04/22,Dom Dolla,4:35:00 PM,5:35:00 PM,Sahara
04/22,John Summit,3:35:00 PM,2:50:00 PM,Sahara
04/22,Lost Kings,2:50:00 PM,3:35:00 PM,Sahara
04/22,GG Magree,2:05:00 PM,2:50:00 PM,Sahara
04/22,Venessa Michaels,1:25:00 PM,1:55:00 PM,Sahara
04/22,ARTBAT,11:15:00 PM,12:00:00 AM,Yuma
04/22,The Martinez Brothers,9:45:00 PM,11:15:00 PM,Yuma
04/22,Peggy Gou,8:15:00 PM,9:45:00 PM,Yuma
04/22,Damian Lazarus,6:45:00 PM,8:15:00 PM,Yuma
04/22,Daphni,5:30:00 PM,6:45:00 PM,Yuma
04/22,Purple Disco Machine,4:15:00 PM,5:30:00 PM,Yuma
04/22,Jayda G,3:00:00 PM,4:15:00 PM,Yuma
04/22,Logic1000,2:00:00 PM,3:00:00 PM,Yuma
04/22,SOHMI,1:00:00 PM,2:00:00 PM,Yuma
04/22,Dear Humans,12:00:00 PM,1:00:00 PM,Yuma
04/23,Billie Eilish,11:30:00 PM,12:30:00 AM,Coachella
04/23,Megan Thee Stallion,10:05:00 PM,10:50:00 PM,Coachella
04/23,Flume,8:30:00 PM,9:35:00 PM,Coachella
04/23,88rising,6:45:00 PM,8:05:00 PM,Coachella
04/23,Giveon,5:30:00 PM,6:15:00 PM,Coachella
04/23,Conan Gray,4:20:00 PM,5:05:00 PM,Coachella
04/23,Masego,3:05:00 PM,3:55:00 PM,Coachella
04/23,Koffee,2:00:00 PM,2:40:00 PM,Coachella
04/23,Record Safari,1:15:00 PM,1:45:00 PM,Coachella
04/23,Stromae,10:35:00 PM,12:00:00 AM,Outdoor
04/23,Danny Elfman,9:00:00 PM,10:00:00 PM,Outdoor
04/23,Disclosure,7:10:00 PM,8:25:00 PM,Outdoor
04/23,Cuco,5:50:00 PM,6:40:00 PM,Outdoor
04/23,Wallows,4:40:00 PM,5:25:00 PM,Outdoor
04/23,Beach Bunny,3:35:00 PM,4:20:00 PM,Outdoor
04/23,Chelsea Cutler,2:30:00 PM,3:10:00 PM,Outdoor
04/23,Gingee,1:45:00 PM,2:15:00 PM,Outdoor
04/23,Molchat Doma,9:15:00 PM,10:00:00 PM,Sonora
04/23,black midi,8:00:00 PM,8:50:00 PM,Sonora
04/23,Inner Wave,6:50:00 PM,7:30:00 PM,Sonora
04/23,Mannequin Pussy,5:45:00 PM,6:25:00 PM,Sonora
04/23,Nicki Nicole,4:40:00 PM,5:20:00 PM,Sonora
04/23,Ed Maverick,3:30:00 PM,4:10:00 PM,Sonora
04/23,Nilufer Yanya,2:30:00 PM,3:10:00 PM,Sonora
04/23,Beach Goons,1:45:00 PM,2:15:00 PM,Sonora
04/23,Yard Act,1:00:00 PM,1:30:00 PM,Sonora
04/23,Buster Jarvis,12:00:00 PM,1:00:00 PM,Sonora
04/23,Kyary Pamyu Pamyu,11:55:00 PM,1:00:00 AM,Gobi
04/23,Hot Chip,10:50:00 PM,11:35:00 PM,Gobi
04/23,Freddie Gibbs & Madlib,9:35:00 PM,10:25:00 PM,Gobi
04/23,Pabllo Vittar,8:25:00 PM,9:10:00 PM,Gobi
04/23,Caroline Polachek,7:15:00 PM,8:00:00 PM,Gobi
